"","Black","White","Asian","Hispanic","Latino","Unkonwn","Other","subject_age"
"573",0,1,0,0,0,0,0,"23.0"
"574",0,0,0,0,0,1,0,"U"
"575",0,0,0,0,0,1,0,"U"
"576",0,0,0,1,0,0,0,"U"
"577",0,3,1,0,0,0,0,"29.0"
"578",0,0,0,0,0,1,0,"U"
"579",0,0,1,1,0,0,0,"24.0"
"580",0,1,0,0,0,0,0,"U"
"581",0,0,0,0,0,1,0,"49.0"
"582",0,1,0,0,0,0,0,"24.0"
"583",0,0,0,0,0,1,0,"61.0"
"584",0,0,0,0,0,1,0,"U"
"585",0,0,0,1,0,0,0,"U"
"586",0,0,0,0,1,0,0,"U"
"587",0,0,0,0,0,1,0,"U"
"588",0,0,0,0,0,1,0,"19.0"
"589",0,1,1,0,2,0,0,"U"
"590",0,0,0,0,0,1,0,"22.0"
"591",1,0,0,0,0,0,0,"U"
"592",0,0,0,0,0,1,0,"U"
"593",0,1,0,0,0,0,0,"U"
"594",0,4,0,1,0,0,0,"U"
"595",0,1,0,0,0,0,0,"37.0"
"596",0,1,2,1,0,0,0,"25.0"
"597",0,0,0,0,0,1,0,"U"
"598",0,1,0,0,0,0,0,"25.0"
"599",0,2,0,0,1,0,0,"45.0"
"600",0,1,0,0,0,0,0,"U"
"601",0,0,0,0,0,1,0,"39.0"
"602",0,1,0,0,0,0,0,"U"
"603",0,1,0,0,0,0,0,"69.0"
"604",0,0,0,0,0,1,0,"U"
"605",0,1,0,0,0,0,0,"U"
"606",0,0,0,1,0,0,0,"U"
"607",0,0,0,0,0,1,0,"28.0"
"608",0,1,0,0,0,0,0,"U"
"609",0,1,0,0,0,0,0,"45.0"
"610",0,1,0,0,0,0,0,"U"
"611",0,1,0,1,0,0,0,"U"
"612",0,0,0,0,0,1,0,"U"
"613",0,0,0,0,0,1,0,"30.0"
"614",0,0,0,0,0,1,0,"U"
"615",0,0,0,0,1,0,0,"U"
"616",0,0,0,1,0,0,0,"U"
"617",1,0,0,0,0,0,0,"25.0"
"618",0,1,0,0,0,0,0,"61.0"
"619",0,1,0,0,0,0,0,"U"
"620",0,0,0,0,0,1,0,"U"
"621",0,0,0,0,0,1,0,"47.0"
"622",0,1,0,0,0,0,0,"33.0"
"623",0,1,0,0,0,0,0,"U"
"624",0,0,0,0,1,0,0,"24.0"
"625",1,0,0,0,0,0,0,"U"
"626",0,0,0,0,0,1,0,"U"
"627",0,1,0,0,0,0,0,"U"
"628",1,1,0,0,0,0,0,"30-39"
